year,make,model,price,miles,trim,body_type,vehicle_type,drivetrain,transmission,fuel_type,engine_size,motor_type,standard_type,epa_rating_city,total_actual_miles,total_actual_fuel,epa_expected_fuel,actual_fuel_economy_geotab,percent_difference_actual_to_epa,estimated_fuel_costs_per_gallon,fuel_costs_per_mile
2008,Ford,Focus,5000.0,187186.0,S,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,6700.0,54735.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,2500.0,224193.0,S,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,3790.0,135975.0,SES,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,5988.0,115969.0,SE,Coupe,Car,FWD,Automatic,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,5999.0,102336.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,4995.0,158399.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,2995.0,185446.0,SE,Coupe,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,5291.0,138920.0,SES,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,5044.0,123220.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,9998.0,61886.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,6995.0,88393.0,SE,Coupe,Car,FWD,Automatic,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,5999.0,102336.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,4999.0,106324.0,SE,Coupe,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,9995.0,89135.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,6995.0,88782.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,4000.0,157795.0,SE,Coupe,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
